study,year,journal,design,country,n,exposure,exposure_tool,exposure_time,exposure_concentration,outcome,outcome_tool,outcome_time,findings,note
Brokamp et al.,2019,Environmental Health Perspectives,case-crossover,USA,13176,PM2.5,satellite model,"acute,0-3 days before event","median(IQR): 14.4 (11.7,16.1)µg/m3","Suicidality, depression, anxiety, other mood disorders",Psychiatry emergency department visit,Before 18 years old,"OR per 10?g/m3 increase [95%CI]: Suicidality 1-day lag :1.44[1.03,2.02], Other mood disorders: 1.15[1.02,1.3]",
Choi et al.,2020,Environmental Science and Pollution Research,panel,South Korea,30+22,PM2.5,outdoor: monitoring station report; indoor: measureing device at home and school,three different months in a year,"median [IQR]: 32.2?g/m3 [26.2,40.3]",Anxiety disorders,State-Anxiety Inventory for Children,10 years old,No significant association found,
Enkhbat et al.,2021,Envronmental Health,RCT,Mongolia,478(233C+245 I),PM2.5,Use of 0-2 HEPA filters ,prenatal week 11 to birth,"geometric mean control: 24.5 ?g/m3, intervention 17.3 ?g/m3 ",Internalizing problems,BASC-3,23 and 48 months old,"At 4 years, an interquartile increase (20.1 µg/m3) in PM2.5 during first trimester is associated with higher internalizing problems (2.4 units, 95% CI: 0.7, 4.0)",
Fan et al.,2019,Journal of Affective Disorders,cross-sectional,China,21780,PM2.5,satellite model,3 year estimate,mean (SD): 28.5 (4.2) ?g/m3,Suicidality,"Suicide attempt, survey response",Around 15 years old,Suicide attempt aOR (95%CI) per 10 ?g/m3 increase : 1.25 (1.03–1.56),PM2/5 exposure and sleep disturbances had an synergistic interaction with suicidality
Latham et al.,2021,Journal of Psychiatric Research,cohort,UK,2232,"PM2.5, PM10",Traffic model,Average annual exposure at 1- years old,"mean [IQR] ?g/m3: PM2.5 12.07[11.27,13.3], PM10 17.47[15.92,18.57]",Depression onset,Diagnostic interview schedule,18 years old,"Highest quartile of PM2.5 vs lowest OR: 1.35[95%CI 0.95,1.92]",
Li et al.,2024,Environment International,cross-sectional,China,22868,"PM10, PM2.5",monitoring station model,past month estimate,"median [IQR] ?g/m3: PM10 42.3 [35.4,62.2], PM2.5 21.5 [18.6,32.1]","Depression, anxiety","Patien-health quationnaire-9, generalized anxiety disorder questionnaire-7",around 14 years old,No significant associations in the general analysis,"In the stratified analysis, children with low levels of physical activity, PM10 and PM2.5 had associations with anxiety and depressioon, with very small effect size"
Liu et al.,2018,Chemosphere,cross-sectional,China,54923,PM2.5,monitoring station model,one year estimate,mean: 51.67 ?g/m3,Non-suicidal self-injury,"Function of self-mutilation questionnaire, past-12 month incidence",middel and high schoolers,"PM2.5 OR per 10?g/m3 increase,  high school:1.174",
Loftus et al,2020,Environmental Research,cohort,USA,975,PM10,monitoring station model,Prenatal andpost natal annual averages,"Median ?g/m3: prenatal 20.7 , postnatal 17.2",Internalizing behavior,CBCL,4-6 years old,No significant associations found,
Maitre et al.,2021,Environment International,cohort,6 european countries,1301,"PM2.5, PM10, Pmabs",Land use regression model,Pregnanc and childhood,not reported,Internalizing behaviors,CBCL,4-7 years old,No significant associations found,
McGuinn et al.,2020,Neurotoxicology,cohort,Mexico,539,PM2.5,satellite model,Prenatal,Whole pregnancy mean: 22.7 ?g/m3 ,"Internalizing, depression/anxiety subscale",BASC-2,4-6 years old,No significant associations found in the general analysis,"The association between 1st trimester PM2.5 and depression was stronger in males than females (? for males: 1.52, 95% CI: ?0.41, 3.45; ? for females: ?0.13, 95% CI: ?1.99, 1.72); p-int: 0.07)."
